,CarName,CarYear,CarModel,EngineCapacity(l),HorsePower,CarFuel,CarTransmission,CarDrive,CarOdo(KM),carPrice,carPriceMin,highPrice,goodPrice,defltPrice,removed,minPrice
156,Rover 600,1998,,1.9,116,бензин,механика,передний,"379,серебристый",100000,,0,0,0,0,0
157,Лада 2110,2000,,1.5,79 ,бензин,механика,передний,100,130000,,1,0,0,0,0
158,Volkswagen Transporter,1982,,1.6,50 ,дизель,механика,задний,300,85000,,0,0,0,0,0
159,Лада 2106,1995,,1.5,72 ,бензин,механика,задний,81,68000,,0,0,1,0,0
160,Mazda Millenia,2001,2.5 AT,2.5,170,бензин,АКПП,передний,148,370000,,1,0,0,0,0
161,Porsche 911,2013,3.8 PDK Carrera 4S,3.8,400,бензин,робот,4WD,31,6500000,,0,0,0,0,0
162,BMW X5,2015,xDrive 25d AT Business,xDr,218,дизель,АКПП,4WD,90,3500000,,0,0,1,0,0
163,Kia Rio,2012,1.6 AT Prestige,1.6,123,бензин,АКПП,передний,155,670000,,0,0,1,0,0
164,Лада 2107,2008,,1.6,74 ,бензин,механика,задний,4,550000,,1,0,0,0,0
165,Toyota RAV4,2002,2.0 AT 4WD,2.0,150,бензин,АКПП,4WD,200,750000,,1,0,0,0,0
166,Brilliance H530,2015,1.6 MT Deluxe,1.6,110,бензин,механика,передний,80,700000,,0,0,0,0,0
167,Subaru Impreza WRX STI,2000,2.0 Turbo STI-MT,2.0,265,бензин,механика,4WD,190,500000,,0,0,0,0,0
168,Hyundai Elantra,2003,2.0 MT GLS,2.0,139,бензин,механика,передний,393,280000,,0,0,1,0,0
169,Toyota Sprinter,1996,,1.5,100,бензин,АКПП,передний,333,295000,,1,0,0,0,0
170,Hyundai Getz,2008,1.4 Comfort 5d MT,1.4,97 ,бензин,механика,передний,300,365000,,0,1,0,0,0
171,Ford Focus,2010,1.8 MT Comfort,1.8,125,бензин,механика,передний,221,530000,,0,0,1,0,0
172,Toyota Aqua,2018,1.5 L,1.5,74 ,гибрид,вариатор,передний,118,1080000,,0,0,1,0,0
173,Лада Ларгус Кросс,2021,1.6 MT Luxe Light 7 мест,1.6,106,бензин,механика,передний,31,1450000,,0,0,1,0,0
174,ЗАЗ Запорожец,1966,0.9 MT 965А,0.9,27 ,бензин,механика,задний,150,20000,,0,0,0,0,0
175,SsangYong Actyon,2011,2.0D AT 4WD Elegance+,2.0,175,дизель,АКПП,4WD,132,900000,,1,0,0,0,0
